,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,output_rf,output_rb,output_lf,output_lb
0,89.45299999999997,-344.922,-31.543000000000006,127.148,70.703,-75.391,27.441,-17.773,47.852,13.477,108.203,-475.684,-102.441,-358.301,89.06299999999997,-36.23,141.504,-3.418,64.844,0,0,1,0
1,69.238,-371.484,-58.203,100.879,51.562,-56.25,14.844,-30.762,48.34,1.66,91.797,-493.652,-89.45299999999997,-383.105,72.852,-54.395,124.121,-23.145,50.977,0,0,1,0
2,59.76600000000001,-388.379,-65.82,87.402,48.242,-50.977,4.883,-45.996,45.215,-11.23,73.73,-506.73800000000006,-89.844,-387.305,59.668,-69.141,116.699,-33.887,39.746,0,0,1,0
3,55.957,-407.031,-62.89100000000001,62.89100000000001,52.93,-54.883,-2.148,-66.016,43.262,-24.219,73.633,-516.6990000000002,-80.37100000000002,-393.066,46.484,-84.961,111.328,-41.113,27.539,0,0,1,0
4,39.258,-427.148,-65.234,45.898,51.562,-57.52,-8.301,-81.055,42.09,-39.453,59.082,-540.43,-67.09,-416.211,31.348000000000006,-98.242,99.316,-51.27,17.09,0,0,1,0
5,56.934,-396.777,-57.03100000000001,75.391,61.523,-69.238,8.984,-52.734,55.176,-13.379,84.375,-514.941,-61.621,-393.848,59.96100000000001,-68.652,116.699,-31.348000000000006,41.797,0,0,1,0
6,84.766,-361.914,-29.492,106.055,73.047,-78.613,22.461,-26.855,57.227,7.129,94.727,-489.551,-80.566,-374.414,76.074,-45.898,139.355,-8.203,62.207,0,0,1,0
7,89.258,-352.051,-0.586,120.312,83.691,-85.449,24.707,-20.605,49.121,4.688,80.273,-486.816,-109.277,-371.973,73.633,-47.949,143.262,0.977,66.50399999999999,0,0,1,0
8,97.656,-330.566,-17.48,152.148,78.906,-79.395,30.664,1.758,53.32,24.316,96.387,-472.461,-120.801,-358.88699999999994,78.711,-22.559,152.441,10.645,83.49600000000002,0,0,1,0
9,108.691,-311.426,-30.371,163.184,76.27,-79.883,38.281,14.258,54.004,35.645,117.871,-449.023,-93.848,-341.309,101.27,-15.039,159.766,17.285,92.969,0,0,1,0
10,94.434,-338.281,-41.21100000000001,137.59799999999998,62.793,-68.262,21.875,-9.863,44.727,13.77,105.078,-479.492,-106.25,-364.062,81.543,-49.805,140.72299999999998,-3.2230000000000003,69.62899999999999,0,0,1,0
11,75.684,-365.234,-50.78100000000001,106.543,52.344,-55.957,6.055,-26.074,36.621,2.539,85.93700000000003,-499.805,-104.883,-370.117,63.672,-53.90600000000001,124.219,-22.363000000000003,51.758,0,0,1,0
12,62.5,-387.695,-65.137,81.934,49.902,-51.953,3.125,-35.547,42.871,-3.906,75.195,-505.371,-92.773,-377.148,59.76600000000001,-55.859,114.453,-32.422,44.629,0,0,1,0
13,55.469,-406.348,-71.973,64.258,51.66,-53.027,1.465,-52.637,47.26600000000001,-19.238,66.113,-533.496,-88.67200000000003,-405.664,49.121,-79.688,108.984,-40.137,33.105,0,0,1,0
14,48.926,-415.82,-82.42200000000003,59.76600000000001,46.191,-49.219,-5.4689999999999985,-69.141,44.53100000000001,-35.059,63.28100000000001,-545.996,-72.75399999999998,-423.34,44.043,-96.973,104.004,-49.023,22.461,0,0,1,0
15,63.672,-392.383,-64.258,83.49600000000002,56.934,-62.988,8.398,-54.59,53.223,-20.313,81.641,-530.859,-75.977,-407.617,58.984,-76.66,119.922,-30.859,42.188,0,0,1,0
16,82.031,-369.336,-39.844,97.852,73.437,-78.32,25.684,-32.812,57.03100000000001,-1.758,98.438,-507.227,-82.91,-398.34,76.953,-57.324,135.254,-10.059,59.96100000000001,0,0,1,0
17,93.457,-350.48800000000006,-29.004,114.551,76.953,-78.809,32.031,-17.187,51.562,9.375,103.613,-498.145,-89.648,-387.012,84.57,-48.047,144.336,1.367,69.62899999999999,0,0,1,0
18,106.152,-327.93,-11.133,135.059,83.691,-85.156,40.332,1.367,53.809,28.516,119.824,-466.992,-86.23,-337.402,102.148,-21.875,157.031,12.695,84.66799999999998,0,0,1,0
