,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,output_rf,output_rb,output_lf,output_lb
0,-36.719,-430.371,-115.527,-15.332,48.535,-54.395,69.824,-49.512,47.559,30.957,73.828,-521.484,-50.098,-520.996,-275.781,-11.914,169.043,-144.336,50.39100000000001,0,1,0,0
1,-14.844,-399.707,-101.27,18.652,53.809,-55.957,87.402,-21.191,59.18,55.566,108.008,-520.703,-47.65600000000001,-504.59,-264.844,12.109000000000002,190.039,-122.559,73.828,0,1,0,0
2,-1.27,-379.98,-89.06299999999997,25.586,52.246,-54.492,90.82,-6.542999999999998,58.789,70.605,135.156,-492.285,-62.89100000000001,-479.102,-262.988,32.129,196.582,-115.039,85.059,0,1,0,0
3,12.598,-356.641,-56.445,43.262,62.89100000000001,-66.309,100.781,11.719,61.426,85.449,141.99200000000005,-457.617,-75.781,-450.781,-247.949,49.121,208.887,-100.098,101.367,0,1,0,0
4,4.59,-368.75,-66.113,31.543000000000006,57.813,-62.793,93.945,4.004,55.566,76.563,128.711,-463.77,-79.395,-458.984,-255.664,39.062,197.852,-109.863,91.211,0,1,0,0
5,-14.16,-395.898,-103.711,10.059,41.895,-48.145,73.73,-17.676,42.578,52.148,110.547,-502.93,-65.918,-496.777,-275.0,13.574000000000002,177.637,-133.984,65.039,0,1,0,0
6,-32.91,-421.387,-121.875,-12.402,29.102,-32.617,60.352,-30.957,42.09,41.797,91.602,-516.602,-60.254,-513.379,-288.965,0.7809999999999999,163.477,-151.172,51.66,0,1,0,0
7,-38.77,-436.523,-128.22299999999998,-26.074,29.102,-31.445,62.5,-39.258,51.465,36.914,86.23,-539.062,-51.074,-532.812,-285.645,-9.863,159.375,-156.445,47.65600000000001,0,1,0,0
8,-54.199,-464.258,-144.434,-53.71100000000001,21.191,-25.781,50.39100000000001,-58.594,44.824,20.02,71.094,-580.078,-46.387,-567.285,-302.148,-36.328,143.84799999999996,-173.34,28.809,0,1,0,0
9,-50.098,-453.516,-139.062,-42.188,25.977,-32.52,52.539,-52.637,44.922,30.078000000000007,65.625,-556.055,-42.676,-537.207,-300.684,-23.633000000000006,150.293,-169.141,34.375,0,1,0,0
10,-29.102,-426.172,-109.961,-22.266,44.824,-51.27,74.219,-29.883000000000006,56.738,48.535,87.20700000000002,-515.7230000000002,-45.117,-503.809,-274.60900000000004,8.301,169.922,-145.80100000000004,58.203,0,1,0,0
11,-9.375,-402.246,-86.62100000000002,-1.172,61.816,-65.625,95.508,-19.238,65.527,50.0,111.133,-513.5740000000002,-49.609,-495.898,-247.461,15.43,185.156,-126.172,73.73,0,1,0,0
12,-3.906,-388.379,-86.035,16.113,60.352,-62.598,100.879,-8.789,65.723,57.227,123.437,-490.918,-53.613,-481.73800000000006,-240.527,20.117,187.207,-121.289,82.42200000000003,0,1,0,0
13,8.398,-362.012,-75.391,44.922,62.988,-66.309,105.371,16.602,65.625,83.594,120.801,-469.824,-63.28100000000001,-459.375,-232.031,50.488,199.805,-106.641,100.977,0,1,0,0
14,4.297,-369.23800000000006,-73.73,33.496,59.96100000000001,-65.625,95.312,13.477,54.004,82.227,127.246,-476.758,-67.09,-469.043,-240.332,48.926,193.262,-112.305,92.578,0,1,0,0
15,-11.425999999999998,-394.23800000000006,-94.824,10.84,43.457,-49.219,79.199,-5.859,46.68,64.063,108.789,-491.016,-73.535,-489.941,-261.426,28.32,176.75799999999995,-133.887,71.289,0,1,0,0
16,-32.91,-423.047,-114.16,-5.176,29.688,-33.984,67.285,-25.488000000000003,47.754,45.996,79.98,-523.242,-74.805,-518.945,-280.762,6.836,161.719,-153.32,54.883,0,1,0,0
17,-40.43,-440.137,-106.25,-25.391,33.691,-36.426,59.082,-44.238,43.555,31.738000000000003,57.91,-536.23,-64.258,-536.719,-292.285,-11.914,158.00799999999995,-159.375,41.992,0,1,0,0
18,-52.051,-463.965,-118.457,-55.664,30.957,-34.082,47.363,-67.969,35.938,11.035,53.418,-560.059,-34.863,-554.98,-300.879,-44.238,145.605,-173.63299999999995,21.777,0,1,0,0
19,-46.289,-455.273,-134.863,-47.949,28.809,-36.133,56.543,-60.937,50.293,17.871,96.582,-552.148,-26.27,-539.844,-298.437,-30.664,149.609,-171.09400000000005,30.371,0,1,0,0
20,-27.93,-428.027,-105.566,-25.0,46.582,-52.832,76.855,-41.309,60.645,35.84,125.391,-539.062,-29.59,-532.129,-277.73400000000004,-9.668,166.602,-148.92600000000004,52.344,0,1,0,0
21,-6.934,-397.852,-83.49600000000002,2.93,61.621,-64.551,93.359,-22.949,61.719,53.125,135.156,-519.141,-35.059,-502.832,-242.578,10.059,185.05900000000003,-128.418,68.75,0,1,0,0
22,0.488,-382.91,-84.961,16.211,62.598,-65.332,96.582,-7.324,57.91,69.824,133.00799999999998,-493.75,-50.0,-471.387,-220.605,35.449,191.016,-120.898,78.613,0,1,0,0
23,9.082,-362.598,-65.723,39.16,71.289,-75.684,103.516,7.0310000000000015,59.375,82.715,116.504,-475.293,-81.25,-458.984,-215.723,50.195,200.391,-108.398,92.578,0,1,0,0
24,3.125,-368.848,-59.082,35.742,67.773,-72.461,98.242,1.465,54.395,74.316,113.086,-483.301,-79.199,-467.871,-230.664,38.086,194.629,-112.988,85.25399999999998,0,1,0,0
25,-13.477,-397.559,-88.965,5.859,47.168,-53.809,86.816,-12.598,57.03100000000001,61.816,125.293,-504.102,-52.344,-485.449,-245.996,25.684,175.87900000000005,-133.789,69.043,0,1,0,0
26,-29.492,-419.629,-116.016,-10.645,31.934,-37.891,69.043,-30.957,50.293,46.094,107.715,-521.289,-47.949,-508.789,-264.355,8.789,161.13299999999995,-154.004,51.27,0,1,0,0
27,-33.984,-432.617,-121.094,-17.871,30.859,-34.18,59.57,-43.066,45.996,39.355,93.652,-533.789,-47.46100000000001,-517.773,-274.121,-1.66,160.44899999999996,-160.156,40.625,0,1,0,0
28,-48.047,-459.86300000000006,-132.422,-47.363,28.32,-31.445,53.223,-64.648,45.801,21.582,90.234,-560.84,-32.91,-542.578,-283.105,-24.902,148.535,-172.266,25.0,0,1,0,0
29,-51.855,-461.621,-129.88299999999998,-52.832,30.859,-37.988,55.957,-69.922,48.438,17.09,90.918,-563.867,-20.215,-550.0,-279.004,-26.172,146.484,-173.145,25.684,0,1,0,0
30,-33.789,-430.176,-110.742,-21.484,45.605,-52.734,78.613,-48.242,61.914,34.082,93.555,-535.84,-31.348000000000006,-525.586,-252.344,-3.711,165.43,-150.195,49.121,0,1,0,0
31,-13.379,-402.539,-89.355,5.4689999999999985,59.57,-63.477,95.02,-26.172,66.699,52.441,110.645,-514.16,-35.645,-506.055,-239.746,17.48,182.617,-128.22299999999998,67.48,0,1,0,0
32,-2.734,-385.449,-79.688,31.543000000000006,58.105,-58.594,90.137,-14.355,54.199,62.89100000000001,120.41,-519.531,-50.0,-497.656,-253.027,31.152,191.602,-119.727,73.926,0,1,0,0
