,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,output_rf,output_rb,output_lf,output_lb
0,139.844,-245.41,190.039,184.18,32.715,-36.133,73.437,-39.453,65.43,74.12100000000002,163.86700000000005,-451.172,-39.844,-381.445,-451.855,59.96100000000001,215.137,124.316,78.711,1,0,0,0
1,131.836,-257.22700000000003,184.766,172.75400000000005,24.316,-29.883000000000006,64.551,-47.949,57.91,62.109,150.195,-454.492,-42.969,-393.652,-456.73800000000006,44.727,206.738,114.453,66.602,1,0,0,0
2,110.449,-289.746,169.43400000000003,140.332,11.035,-15.527,49.902,-70.215,54.102,43.848,134.961,-485.156,-36.133,-422.656,-478.809,33.398,188.379,93.066,43.945,1,0,0,0
3,89.74600000000002,-316.895,151.07399999999996,117.383,1.367,-3.2230000000000003,36.621,-90.918,51.66,28.418000000000006,87.598,-511.133,-49.121,-444.434,-498.145,19.434,172.07,73.34,25.586,1,0,0,0
4,84.766,-333.0080000000001,147.754,102.344,4.395,-5.4689999999999985,33.008,-103.711,51.562,16.406,73.926,-533.496,-44.238,-458.984,-501.562,8.984,167.188,66.406,15.332,1,0,0,0
5,78.125,-354.59,133.398,81.738,-6.836,3.418,24.902,-118.164,51.758,4.102,105.469,-556.1519999999998,-7.52,-479.102,-497.07,-10.449000000000002,158.691,53.809,-0.293,1,0,0,0
6,76.758,-351.074,145.898,88.086,-4.297,-3.516,20.313,-114.941,48.242,7.52,97.461,-551.855,-12.402,-477.051,-497.461,-6.934,161.42600000000004,56.445,3.027,1,0,0,0
7,93.945,-323.145,171.68,111.23,12.402,-19.043,36.621,-88.67200000000003,57.324,30.176,97.168,-518.945,-21.387,-447.07,-483.789,22.07,177.93,78.906,27.832,1,0,0,0
8,119.434,-287.207,162.012,143.65200000000004,20.508000000000006,-23.438,59.473,-57.324,75.195,56.934,152.832,-487.207,-4.492,-417.773,-462.98800000000006,49.121,197.55900000000003,101.172,55.566,1,0,0,0
9,119.531,-281.152,171.09400000000005,155.957,22.363000000000003,-24.902,64.258,-46.973,75.977,63.574,154.004,-485.547,-17.969,-414.551,-461.133,51.367,198.242,106.445,64.16,1,0,0,0
10,134.18,-256.445,189.941,185.449,28.125,-32.422,68.555,-25.879,66.992,79.102,150.195,-469.531,-36.523,-388.574,-450.586,74.12100000000002,212.891,121.973,80.37100000000002,1,0,0,0
11,129.49200000000002,-262.988,185.645,165.72299999999996,23.047,-29.883000000000006,60.84,-30.078000000000007,60.645,73.926,145.703,-464.062,-37.207,-389.844,-456.641,65.234,204.492,115.039,74.219,1,0,0,0
12,112.207,-291.406,165.625,136.719,5.664,-12.109000000000002,40.234,-47.07,56.64100000000001,59.375,135.44899999999998,-482.031,-55.762,-410.645,-490.723,41.602,185.938,93.652,56.543,1,0,0,0
13,88.281,-322.266,142.578,113.77,-6.445,3.906,29.688,-66.211,56.445,41.309,104.395,-506.348,-47.363,-432.812,-501.27,24.707,168.06599999999997,74.12100000000002,41.40600000000001,1,0,0,0
14,80.469,-339.4530000000001,137.109,101.367,-7.129,5.566,28.809,-75.0,58.789,29.785,89.551,-528.2230000000002,-38.965,-450.977,-508.398,12.988,163.379,67.188,34.18,1,0,0,0
15,67.285,-365.332,126.172,78.613,-12.012,8.398,19.434,-97.754,52.637,8.398,80.859,-561.4259999999998,-24.512,-483.691,-525.293,-15.82,151.172,53.809,16.211,1,0,0,0
16,62.5,-363.574,119.141,82.52,-10.937,6.055,19.824,-96.777,55.078,12.5,87.695,-557.813,-15.82,-483.984,-525.488,-11.816,152.441,56.934,21.875,1,0,0,0
17,80.469,-334.57,139.941,107.324,1.953,-8.008,31.152,-73.633,58.789,34.082,107.227,-528.809,-23.926,-450.879,-504.785,16.113,171.09400000000005,77.539,43.945,1,0,0,0
18,104.59,-305.078,164.25799999999995,127.148,19.531,-22.559,57.422,-50.58600000000001,75.293,52.832,132.813,-504.883,-22.754,-423.4380000000001,-474.609,37.598,189.258,100.293,66.992,1,0,0,0
19,110.254,-291.797,169.922,140.332,20.898000000000003,-23.242,62.598,-40.918,70.02,58.398,126.465,-486.914,-29.102,-409.86300000000006,-462.207,43.652,192.676,105.957,73.828,1,0,0,0
20,126.172,-263.379,187.305,168.16400000000004,26.172,-29.59,65.625,-18.652,65.332,79.785,137.305,-448.047,-47.363,-380.859,-458.398,71.387,208.789,121.973,90.332,1,0,0,0
21,124.902,-268.457,184.277,164.25799999999995,19.629,-24.316,50.293,-24.512,47.65600000000001,75.0,135.645,-457.227,-56.934,-390.527,-468.164,60.449,204.688,115.625,79.297,1,0,0,0
22,105.176,-297.168,159.961,139.844,3.711,-8.105,30.957,-48.926,37.793,52.246,113.965,-486.426,-50.58600000000001,-421.68,-486.914,34.57,185.156,93.75,55.566,1,0,0,0
23,86.035,-320.898,134.961,122.656,-11.621,9.473,15.43,-66.797,38.184,37.012,94.629,-502.637,-64.453,-440.234,-509.961,16.602,169.43400000000003,74.805,39.844,1,0,0,0
24,75.977,-339.551,130.17600000000002,108.594,-12.207,10.449000000000002,13.965,-81.445,42.578,24.414,83.887,-528.906,-65.234,-455.664,-522.266,2.539,163.965,68.359,31.055,1,0,0,0
25,62.207,-368.066,123.828,80.859,-15.234000000000002,12.5,4.98,-99.414,38.672,4.395,64.74600000000001,-561.621,-44.33600000000001,-480.859,-539.5509999999998,-15.527,151.563,53.809,12.207,1,0,0,0
26,56.25,-372.168,129.88299999999998,73.535,-9.473,2.441,6.055,-100.0,38.379,4.199,49.902,-556.641,-36.133,-478.125,-541.406,-12.598,150.0,54.297,12.890999999999998,1,0,0,0
27,75.87899999999998,-339.648,138.379,107.812,4.004,-10.937,25.781,-77.734,47.65600000000001,24.121,74.12100000000002,-529.004,-47.363,-454.492,-517.969,1.953,170.215,76.953,37.402,1,0,0,0
28,105.176,-307.422,163.57399999999996,137.988,15.039,-18.359,44.14100000000001,-56.055,56.055,43.945,120.605,-518.75,-43.945,-439.941,-492.871,22.852,193.359,101.758,58.984,1,0,0,0
29,115.43,-287.988,173.73,146.484,19.238,-20.215,56.152,-46.094,64.16,59.375,128.809,-484.961,-28.711,-401.172,-470.801,44.238,200.586,111.719,71.875,1,0,0,0
30,125.684,-261.23,181.055,174.707,25.293000000000006,-26.172,65.82,-21.973000000000006,70.703,81.836,148.92600000000004,-451.855,-42.676,-376.074,-462.793,72.461,211.914,125.977,91.504,1,0,0,0
31,123.145,-266.699,181.152,167.188,20.215,-25.488000000000003,55.859,-23.34,58.496,76.367,150.781,-460.156,-54.883,-388.574,-478.61300000000006,66.211,206.152,119.727,81.348,1,0,0,0
32,100.195,-300.781,161.621,134.961,5.566,-12.598,37.402,-45.312,48.828,53.027,128.516,-496.875,-54.98,-419.531,-500.391,41.504,183.496,96.387,57.03100000000001,1,0,0,0
33,78.906,-327.344,142.09,119.629,-7.91,3.32,23.438,-66.016,47.07,34.375,96.582,-523.535,-52.734,-442.676,-519.043,18.359,167.09,76.172,39.844,1,0,0,0
34,72.656,-343.164,138.086,105.664,-7.0310000000000015,5.4689999999999985,19.043,-80.469,46.191,20.898000000000003,85.645,-536.23,-39.844,-455.273,-523.438,3.027,163.57399999999996,69.141,29.688,1,0,0,0
35,65.137,-365.527,126.172,75.977,-10.645,8.789,8.398,-100.293,37.598,2.148,90.43,-555.762,-17.48,-474.023,-532.031,-19.531,153.22299999999996,57.227,11.719,1,0,0,0
36,59.18,-370.996,123.633,72.266,-12.5,5.176,7.129,-102.93,38.867,1.66,76.172,-547.168,-19.434,-470.996,-530.859,-18.164,150.293,54.98,11.816,1,0,0,0
